onset,rime,vq,F0,gender,group,df1,df2,choice,RT,pcp
d,ao,modal,5,male,G2,p>f,6,1,1579,719740
d,ao,creaky,-7,male,G3,p<f,-6,0,1654,719740
f,a,modal,-4,male,G1,p<f,-3,0,1380,719740
f,a,creaky,-3,male,G3,p<f,-2,0,1548,719740
f,a,creaky,4,male,G4,p>f,5,1,2076,719740
f,a,creaky,5,male,G4,p>f,6,1,1936,719740
sh,a,modal,-2,male,G1,p<f,-1,0,1622,719740
sh,a,modal,-6,male,G1,p<f,-5,0,1475,719740
sh,a,modal,4,male,G2,p>f,5,1,1831,719740
sh,a,creaky,-5,male,G3,p<f,-4,0,1477,719740
z,ao,modal,-5,male,G1,p<f,-4,0,2421,719740
z,ao,modal,-7,male,G1,p<f,-6,0,1763,719740
z,ao,creaky,-6,male,G3,p<f,-5,0,1605,719740
z,ao,creaky,2,male,G4,p>f,3,0,1785,719740
zh,ao,modal,0,male,G2,p>f,1,0,1644,719740
zh,ao,modal,3,male,G2,p>f,4,1,1666,719740
zh,ao,creaky,0,male,G4,p>f,1,0,1640,719740
zh,ao,creaky,1,male,G4,p>f,2,0,2049,719740
b,ao,modal,15,female,G2,p>f,6,1,1706,719740
b,ao,modal,3,female,G1,p<f,-6,0,3003,719740
b,ao,creaky,12,female,G4,p>f,3,0,2038,719740
b,ao,creaky,5,female,G3,p<f,-4,0,2159,719740
d,ao,modal,13,female,G2,p>f,4,1,2682,719740
d,ao,modal,6,female,G1,p<f,-3,0,1551,719740
d,ao,creaky,15,female,G4,p>f,6,1,2762,719740
d,ao,creaky,7,female,G3,p<f,-2,0,1395,719740
f,a,modal,10,female,G2,p>f,1,0,1848,719740
f,a,modal,14,female,G2,p>f,5,1,2148,719740
f,a,creaky,10,female,G4,p>f,1,0,1737,719740
f,a,creaky,6,female,G3,p<f,-3,0,1849,719740
sh,a,modal,12,female,G2,p>f,3,1,1799,719740
sh,a,modal,5,female,G1,p<f,-4,0,1754,719740
sh,a,creaky,4,female,G3,p<f,-5,0,1476,719740
sh,a,creaky,8,female,G3,p<f,-1,0,3651,719740
z,ao,modal,11,female,G2,p>f,2,0,1935,719740
z,ao,modal,7,female,G1,p<f,-2,0,2173,719740
z,ao,modal,8,female,G1,p<f,-1,0,2655,719740
z,ao,creaky,3,female,G3,p<f,-6,0,1539,719740
zh,ao,modal,4,female,G1,p<f,-5,0,2798,719740
zh,ao,creaky,11,female,G4,p>f,2,0,2053,719740
zh,ao,creaky,13,female,G4,p>f,4,0,1919,719740
zh,ao,creaky,14,female,G4,p>f,5,1,2863,719740
